upc,url
19466103447,https://walmart.com/ip/629653948
19466103448,https://walmart.com/ip/829473640
19466103449,https://walmart.com/ip/979576660
19466103450,https://walmart.com/ip/417635857
19466103451,https://walmart.com/ip/352309566
19466103452,https://walmart.com/ip/795639003
19466103453,https://walmart.com/ip/507734932
19466103454,https://walmart.com/ip/518353259
19466103455,https://walmart.com/ip/867754249
19466103456,https://walmart.com/ip/572373575
19466103457,https://walmart.com/ip/720890768
19466103458,https://walmart.com/ip/318017112
19466103459,https://walmart.com/ip/259567205
19466103460,https://walmart.com/ip/706838430
19466103461,https://walmart.com/ip/808475328
19466103462,https://walmart.com/ip/460024006
19466103463,https://walmart.com/ip/996049745
19466103464,https://walmart.com/ip/288807649
19466103465,https://walmart.com/ip/723635120
19466103466,https://walmart.com/ip/248622187
19466103467,https://walmart.com/ip/291071119
19466103468,https://walmart.com/ip/706707870
19466103469,https://walmart.com/ip/440592055
19466103470,https://walmart.com/ip/634443371
19466103471,https://walmart.com/ip/868501385
19466103472,https://walmart.com/ip/532972912
19466103473,https://walmart.com/ip/594920176
19466103474,https://walmart.com/ip/240143101
19466103475,https://walmart.com/ip/576811391
19466103476,https://walmart.com/ip/683396567
19466103477,https://walmart.com/ip/546737020
19466103478,https://walmart.com/ip/604529476
19466103479,https://walmart.com/ip/588360785
19466103480,https://walmart.com/ip/782388329
19466103481,https://walmart.com/ip/790922978
19466103482,https://walmart.com/ip/717168374
19466103483,https://walmart.com/ip/320489377
19466103484,https://walmart.com/ip/935386558
19466103485,https://walmart.com/ip/797306326
19466103486,https://walmart.com/ip/345486919
19466103487,https://walmart.com/ip/987801298
19466103488,https://walmart.com/ip/470385449
19466103489,https://walmart.com/ip/230671375
19466103490,https://walmart.com/ip/927169809
19466103491,https://walmart.com/ip/223132561
19466103492,https://walmart.com/ip/674435464
19466103493,https://walmart.com/ip/885342254
19466103494,https://walmart.com/ip/398764149
19466103495,https://walmart.com/ip/175924871
19466103496,https://walmart.com/ip/719117545
19466103497,https://walmart.com/ip/487908185
19466103498,https://walmart.com/ip/958335705
19466103499,https://walmart.com/ip/485790622
19466103500,https://walmart.com/ip/701558191
19466103501,https://walmart.com/ip/533122822
19466103502,https://walmart.com/ip/741367795
19466103503,https://walmart.com/ip/254262530
19466103504,https://walmart.com/ip/249510434
19466103505,https://walmart.com/ip/100948340
19466103506,https://walmart.com/ip/995827680
19466103507,https://walmart.com/ip/515245392
19466103508,https://walmart.com/ip/134057274
19466103509,https://walmart.com/ip/312889592
19466103510,https://walmart.com/ip/250637916
19466103511,https://walmart.com/ip/960831520
19466103512,https://walmart.com/ip/999746655
19466103513,https://walmart.com/ip/517213445
19466103514,https://walmart.com/ip/594961088
19466103515,https://walmart.com/ip/476962297
19466103516,https://walmart.com/ip/653977655
19466103517,https://walmart.com/ip/516296933
19466103518,https://walmart.com/ip/283495586
19466103519,https://walmart.com/ip/347828711
19466103520,https://walmart.com/ip/881005807
